0 kongzi 71 255307 510623
 0.1210   103    5   3  天 下 之
 0.1105    94    5   3  先 生 曰
 0.0803    41    9   5  臣 若 水 通 曰
 0.0623    53    5   3  如 何 曰
 0.0588    50    5   3  聖 人 之
 0.0505    43    5   3  而 已 矣
 0.0501    32    7   4  仁 義 禮 智
 0.0470    40    5   3  天 地 之
 0.0435    37    5   3  鿡 物 之
 0.0435    37    5   3  不 足 以
 0.0388    33    5   3  君 子 之
 0.0353    30    5   3  程 子 曰
 0.0329    28    5   3  鿡 行 之
 0.0329    28    5   3  而 不 能
 0.0317    27    5   3  言 之 則
 0.0317    27    5   3  朱 子 曰
 0.0306    26    5   3  鬼 神 之
 0.0306    26    5   3  底 意 思
 0.0306    13   11   6  也 臣 若 水 通 曰
 0.0294    15    9   5  如 何 先 生 曰
 0.0282    24    5   3  何 也 曰
 0.0274    14    9   5  類 得 之 則 為
 0.0274    14    9   5  賈 公 彦 釋 曰
 0.0270    23    5   3  先 王 之
 0.0259    22    5   3  朝 廷 之
 0.0259    22    5   3  卿 大 夫
 0.0259    22    5   3  做 工 夫
 0.0259    11   11   6  鿡 分 鿡 釐 鿡 毫
 0.0259    11   11   6  以 上 語 類 鿡 條
 0.0259    11   11   6  也 鿡 梅 堯 臣 曰
 0.0259     3   43  22  鿡 分 鿡 為 鿡 寸 鿡 為 鿡 分 鿡 為 鿡 釐 鿡 為 鿡 毫 鿡 為 鿡 絲
 0.0247    21    5   3  兄 弟 之
 0.0247     7   17   9  字 鿡 韻 聚 而 為 鿡 者 也
 0.0235    20    5   3  隂 陽 之
 0.0235    20    5   3  聖 賢 之
 0.0235    20    5   3  天 子 之
 0.0235    20    5   3  則 不 能
 0.0235    20    5   3  也 臣 按
 0.0235    15    7   4  之 最 鿡 曰
 0.0235    12    9   5  鄭 康 成 注 曰
 0.0223    19    5   3  與 天 地
 0.0223    19    5   3  而 言 之
 0.0223    19    5   3  文 王 之
 0.0223    19    5   3  之 謂 也
 0.0219    14    7   4  日 月 星 辰
 0.0219    14    7   4  天 地 鿡 物
 0.0219    14    7   4  否 先 生 曰
 0.0219     8   13   7  鿡 隂 鿡 陽 之 謂 道
 0.0219     4   27  14  鿡 揲 掛 扐 通 鿡 策 而 見 存 鿡 策 則 為
 0.0212    18    5   3  鿡 方 之
 0.0212    18    5   3  箇 道 理
 0.0212    18    5   3  氏 之 説
 0.0212    18    5   3  子 所 謂
 0.0212    18    5   3  天 下 者
 0.0204    13    7   4  鰥 寡 孤 獨
 0.0204    13    7   4  臣 良 勝 曰
 0.0204    13    7   4  惻 隱 之 心
 0.0204    13    7   4  只 是 鿡 箇
 0.0204     2   51  26  鿡 數 以 象 方 而 鿡 之 中 各 復 有 鿡 積 鿡 之 策 為 鿡 是 去 鿡 以 成 鿡 也
 0.0200    17    5   3  士 大 夫
 0.0196     1   99  50  爻 成 則 便 止 有 鿡 卦 鿡 爻 成 則 便 止 有 鿡 卦 鿡 爻 成 則 便 止 有 鿡 卦 鿡 爻 成 則 便 止 有 鿡 卦 鿡 爻 成 則 便 止 有 鿡 卦 鿡 爻 成 只 是 鿡
 0.0188    16    5   3  不 知 其
 0.0188    12    7   4  鿡 張 預 曰
 0.0188    12    7   4  君 臣 父 子
 0.0188    12    7   4  君 子 之 道
 0.0188     8   11   6  愚 按 此 節 大 意
 0.0188     6   15   8  徴 引 易 上 傳 之 鿡 章
 0.0188     1   95  48  鿡 與 鿡 去 掛 鿡 之 數 則 鿡 也 鿡 與 鿡 去 掛 鿡 之 數 則 鿡 也 鿡 與 鿡 與 鿡 去 掛 鿡 之 數 則 鿡 也 鿡 與 鿡 與 鿡 去 掛 鿡 之 數 則 鿡 也
 0.0176    15    5   3  所 謂 鿡
 0.0176     9    9   5  也 鿡 李 筌 曰
 0.0176     5   17   9  曾 㸃 漆 雕 開 已 見 大 意
 0.0176     3   29  15  計 鿡 分 鿡 釐 鿡 毫 鿡 秒 鿡 忽 鿡 分 忽 之
 0.0172    11    7   4  鿡 杜 牧 曰
 0.0172    11    7   4  河 圖 洛 書
 0.0172    11    7   4  天 地 之 間
 0.0172    11    7   4  博 施 濟 衆
 0.0172    11    7   4  先 生 曰 此
 0.0165    14    5   3  鿡 之 數
 0.0165    14    5   3  只 是 這
 0.0165     6   13   7  鿡 度 鿡 分 度 之 鿡
1 leishu 84 302036 604096
 0.0884    89    5   3  州 刺 史
 0.0814    82    5   3  後 漢 書
 0.0457    46    5   3  淮 南 子
 0.0417    42    5   3  天 下 之
 0.0411    31    7   4  鿡 年 鿡 月
 0.0358    36    5   3  中 郎 將
 0.0318    16   11   6  齋 宋 史 藝 文 志
 0.0288    29    5   3  丨 之 丨
 0.0258    26    5   3  鿡 餘 鿡
 0.0258    26    5   3  部 尚 書
 0.0258    26    5   3  天 地 之
 0.0238    24    5   3  部 侍 郎
 0.0238    24    5   3  數 鿡 人
 0.0238    24    5   3  各 鿡 人
 0.0228    23    5   3  王 子 鿡
 0.0199    20    5   3  鿡 年 之
 0.0199    20    5   3  給 事 中
 0.0199    20    5   3  抱 朴 子
 0.0199    20    5   3  大 將 軍
 0.0199    15    7   4  御 史 大 夫
 0.0189    19    5   3  鿡 餘 人
 0.0189    19    5   3  鿡 東 漢
 0.0189    19    5   3  長 鿡 尺
 0.0189    19    5   3  部 郎 中
 0.0189    19    5   3  舉 進 士
 0.0189    19    5   3  孔 子 曰
 0.0185    14    7   4  鿡 年 正 月
 0.0185    14    7   4  鿡 品 以 上
 0.0185    14    7   4  葉 續 鿡 劉
 0.0185    14    7   4  監 察 御 史
 0.0185     8   13   7  張 彥 逺 法 書 要 錄
 0.0182    11    9   5  州 刺 史 國 於
 0.0179    18    5   3  鿡 餘 兩
 0.0179    18    5   3  水 經 注
 0.0179    18    5   3  氏 春 秋
 0.0179    18    5   3  國 子 監
 0.0179     9   11   6  鿡 月 失 政 鿡 月
 0.0179     3   35  18  科 黄 帝 素 問 難 經 巢 氏 病 源 補 註 本 草 鿡 金 方
 0.0172    13    7   4  銀 鿡 餘 兩
 0.0172    13    7   4  翰 林 學 士
 0.0172    13    7   4  東 觀 漢 記
 0.0172    13    7   4  州 刺 史 生
 0.0169    17    5   3  齋 南 史
 0.0166     5   19  10  之 嶠 鿡 嶺 之 第 鿡 嶺 也 在
 0.0159    16    5   3  者 謂 之
 0.0159    16    5   3  水 第 鿡
 0.0159    16    5   3  山 海 經
 0.0159    16    5   3  丨 其 丨
 0.0159    12    7   4  鿡 月 鿡 日
 0.0159    12    7   4  淮 南 子 丨
 0.0159     6   15   8  大 智 度 論 卷 鿡 譬 如
 0.0149    15    5   3  鿡 代 孫
 0.0149    15    5   3  鴻 臚 寺
 0.0149    15    5   3  王 孫 鿡
 0.0149    15    5   3  書 禮 志
 0.0149    15    5   3  上 鿡 寸
 0.0146    11    7   4  元 年 鿡 月
 0.0146     4   21  11  坦 氣 修 通 凡 物 開 静 形 生 理
 0.0139    14    5   3  魏 文 帝
 0.0139    14    5   3  觀 察 使
 0.0139    14    5   3  花 馬 池
 0.0139    14    5   3  而 不 能
 0.0139     7   11   6  此 陸 善 經 續 鿡
 0.0139     6   13   7  執 政 同 上 丨 鿡 家
 0.0139     3   27  14  宣 徳 崇 仁 保 順 純 誠 亮 節 恊 恭 賛 治
 0.0132    10    7   4  鶡 冠 子 天
 0.0132    10    7   4  河 隄 謁 者
 0.0132    10    7   4  宣 和 書 譜
 0.0132     8    9   5  漢 書 郊 祀 志
 0.0132     8    9   5  漢 書 禮 樂 志
 0.0132     8    9   5  冊 府 元 龜 曰
 0.0132     8    9   5  乗 其 部 謂 之
 0.0132     1   79  40  鿡 年 秋 鿡 月 大 雩 左 傳 曰 旱 也 鿡 年 秋 大 雩 鿡 年 鿡 月 大 雩 左 傳 曰 旱 也 鿡 年 秋 鿡 月 大 雩 鿡 年 秋 鿡 月
 0.0132     1   79  40  鿡 人 愛 之 則 鿡 人 之 吏 也 鿡 人 愛 之 則 鿡 人 之 吏 也 鿡 人 愛 之 則 鿡 人 之 吏 也 鿡 人 愛 之 則 鿡 人 之 吏 也
 0.0129    13    5   3  鿡 年 鿡
 0.0129    13    5   3  鿡 年 賜
 0.0129    13    5   3  謂 之 丨
 0.0129    13    5   3  為 尚 書
 0.0119    12    5   3  平 鿡 年
 0.0119     9    7   4  鿡 字 成 對
2 math 80 287677 575355
 0.2850   205    7   4  鿡 分 之 鿡
 0.2284   219    5   3  得 讠 為
 0.1898   182    5   3  鿡 角 形
 0.1724   124    7   4  幾 何 法 以
 0.1669   120    7   4  相 減 餘 鿡
 0.1627   156    5   3  為 鿡 率
 0.1616   155    5   3  鿡 平 方
 0.1557     1  895 448  圜 外 鿡 邊 形 之 毎 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 每 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 每 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 每 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 每 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 每 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 毎 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 毎 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 毎 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 每 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 每 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 每 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 毎 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 每 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 毎 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 每 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 每 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 每 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 每 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 毎 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 每 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 每 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 每 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 每 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 毎 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 每 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 毎 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 每 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 每 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 毎 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 每 鿡 邊 為 鿡 小 餘 鿡 圜 外 鿡 邊 形 之 每 鿡 邊 為 鿡 小 餘 鿡
 0.1474   106    7   4  鿡 尺 鿡 寸
 0.1408   135    5   3  行 鿡 步
 0.1408   135    5   3  之 比 例
 0.1363    98    7   4  直 角 方 形
 0.1324   127    5   3  鿡 率 鿡
 0.1314   126    5   3  正 方 體
